2026-05-01 00:18:38 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=69.38%  [0.1s]
2026-05-01 00:18:38 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:38 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:38 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=76.25%  [0.1s]
2026-05-01 00:18:38 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:38 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:38 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=75.62%  [0.1s]
2026-05-01 00:18:38 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=76.10%  [0.1s]
2026-05-01 00:18:39 | INFO     | cross_validation |   CV result: 73.22% ± 3.41%
2026-05-01 00:18:39 | INFO     | cross_validation |   Combo 10/20: {'n_neighbors': 10}
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=69.38%  [0.1s]
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=70.62%  [0.1s]
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=75.62%  [0.1s]
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=74.38%  [0.1s]
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=74.21%  [0.1s]
2026-05-01 00:18:39 | INFO     | cross_validation |   CV result: 72.84% ± 2.40%
2026-05-01 00:18:39 | INFO     | cross_validation |   Combo 11/20: {'n_neighbors': 11}
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=69.38%  [0.1s]
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=71.88%  [0.1s]
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:39 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:39 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=76.25%  [0.1s]
2026-05-01 00:18:39 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:40 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:40 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=75.00%  [0.1s]
2026-05-01 00:18:40 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
